,Building ID,X36 NPV_x,Estimated Build Cost,Profit Including Build Cost,Latitude,Longitude,State,Number of Accounts,Street Address,Postal Code,Net Classification,Type
0,Bldg-430143,480159.37,35981.5,444177.87,39.7532239,-105.000157,CO,4,1701 Wynkoop St,80202,On-Net,Office - Multi Tenant
4,Bldg-519433,357294.76,14366.5,342928.26,39.857675799999996,-104.5833434,CO,1,N. Imboden and E 88th Ave,80223,Fiber Only,Splice Point
5,Bldg-158872,319506.62,22971.4,296535.22,39.6543983,-104.9806934,CO,2,501 E Hampden Ave,80113,Fiber Only,Hospital
7,Bldg-158866,334458.16000000003,49844.5,284613.66000000003,39.7470859,-104.9665747,CO,3,1719 E 19th Ave,80218,Fiber Only,Hospital
10,Bldg-266860,242771.91000000003,18408.4,224363.51000000004,39.6172796,-104.8997303,CO,5,7600 Landmark Way,80111,Fiber Only,Residential - Multi Tenant
15,Bldg-483657,246851.43,36706.3,210145.13,39.915665000000004,-104.98240190000001,CO,3,12051 Pennsylvania St,80241,Fiber Only,Office - Multi Tenant
18,Bldg-456892,212936.72,15273.25,197663.47,39.6311101,-104.88462520000002,CO,1,4700 S Yosemite St,80111,Fiber Only,High School
19,Bldg-082112,213358.5,24228.7,189129.8,39.7038796,-104.94009170000001,CO,3,720 S Colorado Blvd,80246,Fiber Only,Office - Multi Tenant
22,Bldg-520588,212479.48,37920.7,174558.78000000003,39.754448,-105.00062,CO,6,1750 Wewatta St,80202,Fiber Only,Retail - Multi Tenant
28,Bldg-223981,172557.64,22448.95,150108.69,39.684234000000004,-105.025726,CO,2,1825 S Federal Blvd,80219,Fiber Only,Middle School
30,Bldg-223997,171394.09000000003,21837.85,149556.24000000002,39.758569,-105.016686,CO,2,2417 W 29th Ave,80211,Fiber Only,Middle School
32,Bldg-519346,161229.22,12400.0,148829.22,39.8562375,-104.7317643,CO,1,8713 N Quincy St,80249,Fiber Only,Office - Single Tenant
33,Bldg-223956,176448.55000000002,29622.4,146826.15000000002,39.776022,-104.853313,CO,2,11200 E 45th Ave,80239,Fiber Only,High School
35,Bldg-497783,174313.16,27924.4,146388.76,39.7460198,-105.0075422,CO,1,890 Auraria Pkwy,80204,Fiber Only,Office - Multi Tenant
36,Bldg-224052,167977.27000000002,29516.5,138460.77000000002,39.78221,-105.00671499999999,CO,2,4735 Pecos St,80211,Fiber Only,Elementary School
38,Bldg-133824,156480.1,18943.45,137536.65,39.737324,-104.981427,CO,2,1301 Pennsylvania St,80203,Fiber Only,Office - Multi Tenant
40,Bldg-481035,190373.53,63755.8,126617.73,39.7203203,-104.9525594,CO,1,299 Milwaukee St,80206,Fiber Only,Office - Multi Tenant
41,Bldg-502202,136384.47,12400.0,123984.47,39.76883529999999,-104.8762838,CO,3,6240 Smith Rd,80216,Fiber Only,Office - Multi Tenant
