Account ID,Industry,Vertical, Total BRR ,# Buildings on Net,# Buildings not on Net
Acct-000273,Telecommunications,Wireless,6084906.0,970.0,45
Acct-000008,Telecommunications,RLEC,520611.0,704.0,97
Acct-000004,Telecommunications,Wireless,3510947.0,446.0,213
Acct-000122,Telecommunications,National Carrier/ISP,314529.0,367.0,29
Acct-000700,Telecommunications,Wireless,55526.0,321.0,2188
Acct-000167,Telecommunications,National Carrier/ISP,1156722.8,277.0,3
Acct-001366,Telecommunications,Wireless,7781.0,261.0,1463
Acct-000025,Telecommunications,National Carrier/ISP,4234871.0,228.0,32
Acct-000013,Telecommunications,National Carrier/ISP,5117529.0,188.0,17
Acct-000579,Telecommunications,National Carrier/ISP,1123818.23,162.0,2
Acct-000014,Telecommunications,National Carrier/ISP,523970.98,158.0,0
Acct-000038,Media & Content,Internet Content & Software,1183550.0,156.0,318
Acct-000072,Telecommunications,National Carrier/ISP,1307326.0,144.0,3
Acct-000002,Telecommunications,National Carrier/ISP,3344939.0,138.0,588
Acct-000053,Telecommunications,National Carrier/ISP,2950069.0,96.0,17
Acct-001417,Telecommunications,National Carrier/ISP,1077530.52,90.0,2
Acct-000009,Telecommunications,National Carrier/ISP,1915889.0,88.0,25
Acct-000055,Telecommunications,National Carrier/ISP,338015.0,82.0,157
Acct-000036,Telecommunications,Wireless,5105015.0,75.0,587
Acct-001068,Government,State/Local Government,108744.0,58.0,1
Acct-000056,Finance,Finance - Other,539570.0,54.0,252
Acct-000420,Research & Education,K-12 Education,174728.0,51.0,0
Acct-001401,Telecommunications,National Carrier/ISP,263762.72,46.0,0
Acct-000209,Telecommunications,Regional Carrier/ISP,40009.0,42.0,1
Acct-000403,Telecommunications,Regional Carrier/ISP,67868.0,42.0,1
Acct-000034,Telecommunications,National Carrier/ISP,1541759.0,38.0,1
Acct-000730,Finance,Finance - Other,199662.0,36.0,643
Acct-000091,Telecommunications,Regional Carrier/ISP,810174.0,34.0,0
Acct-000790,Telecommunications,Reseller,38475.24,33.0,9
Acct-000236,Telecommunications,Wireless,1647409.0,32.0,12
Acct-000039,Media & Content,Cable & Satellite,881860.0,30.0,6
Acct-001363,Healthcare,Hospital/Clinic,149449.0,27.0,98
Acct-001233,Research & Education,K-12 Education,19000.0,25.0,3
Acct-000062,IT Infrastructure,Colo/Hosting,255295.0,25.0,4
Acct-000448,Telecommunications,Regional Carrier/ISP,21182.0,22.0,5
Acct-000093,Telecommunications,Reseller,230445.0,22.0,2
Acct-000312,IT Infrastructure,Colo/Hosting,515234.0,22.0,2
Acct-001198,Media & Content,Cable & Satellite,387528.0,20.0,0
Acct-000007,Telecommunications,PTT,1334080.0,20.0,0
Acct-000224,Telecommunications,Regional Carrier/ISP,468014.08,20.0,8
Acct-000074,Media & Content,Cable & Satellite,827848.0,19.0,4
Acct-000011,Media & Content,Internet Content & Software,683378.0,18.0,24
Acct-001296,Healthcare,Hospital/Clinic,31930.62,18.0,52
Acct-001622,Research & Education,K-12 Education,35308.0,18.0,135
Acct-000132,Telecommunications,National Carrier/ISP,487472.0,17.0,0
Acct-001400,Media & Content,Media,67443.0,17.0,1
Acct-000148,Telecommunications,Regional Carrier/ISP,60135.0,16.0,1
Acct-001364,Healthcare,Hospital/Clinic,28715.88,16.0,228
Acct-000201,Other Industry,Retail,387865.0,15.0,261
Acct-000435,Telecommunications,Regional Carrier/ISP,420878.0,15.0,2
Acct-000176,IT Infrastructure,Cloud Service Provider,384059.0,15.0,0
Acct-000303,Telecommunications,PTT,731810.0,15.0,0
Acct-001177,Healthcare,Hospital/Clinic,48382.36,15.0,30
