,Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees,Building ID
71,Acct-000245,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,180
156,Acct-001289,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,100
83,Acct-001241,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,78
155,Acct-001285,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,52
154,Acct-001284,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,41
153,Acct-001282,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,34
157,Acct-001283,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,28
20,Acct-000044,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,26
152,Acct-001288,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,22
62,Acct-000066,Healthcare,Hospital/Clinic,0.0, $-   ,0, $-   ,0,22
82,Acct-000880,Healthcare,Hospital/Clinic,0.0, $-   ,0, $-   ,0,21
98,Acct-001213,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,19
104,Acct-001202,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,16
65,Acct-000191,,,0.0, $-   ,0, $-   ,0,16
46,Acct-001242,Research & Education,K-12 Education,0.0," $461,000.00 ",50, $-   ,0,12
52,Acct-000323,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,11
60,Acct-000281,Telecommunications,VOIP/VSP,0.0, $-   ,0, $-   ,0,11
16,Acct-001135,Healthcare,Healthcare - Other,0.0, $-   ,0, $-   ,0,10
37,Acct-000054,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,10
6,Acct-000144,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,10
21,Acct-000218,,,0.0, $-   ,0, $-   ,0,9
25,Acct-000143,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,7
80,Acct-001031,Government,State/Local Government,0.0, $-   ,0, $-   ,0,7
133,Acct-000399,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,7
168,Acct-001219,Research & Education,Higher Education,0.0, $-   ,0, $-   ,0,6
5,Acct-000041,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,6
58,Acct-000178,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,6
45,Acct-001184,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,6
31,Acct-001329,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,6
2,Acct-000384,Healthcare,Hospital/Clinic,0.0," $1,979,979,922.53 ",68000, $-   ,0,6
148,Acct-000712,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,5
24,Acct-000018,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,5
55,Acct-001201,Other Industry,Retail,0.0," $76,688,272,000.00 ",375300," $81,614,518,000.00 ",385000,5
56,Acct-000195,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,5
132,Acct-000263,IT Infrastructure,Colo/Hosting,0.0, $-   ,0, $-   ,0,5
77,Acct-000087,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,5
141,Acct-000371,Telecommunications,VOIP/VSP,0.0," $798,293,416.00 ",650," $798,293,416.00 ",650,4
10,Acct-000715,Telecommunications,National Carrier/ISP,0.0, $-   ,0, $-   ,0,4
93,Acct-000606,Telecommunications,National Carrier/ISP,0.0, $-   ,0, $-   ,0,4
79,Acct-000069,Telecommunications,National Carrier/ISP,0.0," $1,732,310,903.22 ",7400," $2,096,096,193.17 ",7400,4
23,Acct-000027,Other Industry,Retail,0.0, $-   ,0, $-   ,0,3
150,Acct-001232,Other Industry,Hospitality,0.0, $-   ,0, $-   ,0,3
50,Acct-001313,Transportation & Logistics,Logistics,0.0, $-   ,0, $-   ,0,3
9,Acct-000378,Healthcare,Hospital/Clinic,0.0, $-   ,0, $-   ,0,3
8,Acct-001220,Manufacturing,Automotive/Vehicles,0.0," $46,653,200.00 ",600, $-   ,0,3
69,Acct-000970,Healthcare,Healthcare,0.0," $23,274.97 ",1," $23,274.97 ",1,3
72,Acct-000858,Media & Content,AdTech,0.0, $-   ,0, $-   ,0,3
183,Acct-001336,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,3
86,Acct-000709,Media & Content,Media,0.0, $-   ,0, $-   ,0,3
51,Acct-001192,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,3
96,Acct-000670,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,3
17,Acct-000024,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,3
33,Acct-000295,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,3
169,Acct-001338,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,3
18,Acct-000079,Telecommunications,National Carrier/ISP,0.0, $-   ,0, $-   ,0,3
41,Acct-000100,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,3
39,Acct-000393,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,3
99,Acct-001250,Research & Education,K-12 Education,0.0," $76,778.63 ",32," $87,317.09 ",32,2
97,Acct-000251,IT Infrastructure,Colo/Hosting,0.0, $-   ,0, $-   ,0,2
118,Acct-001163,Professional Services,Consulting / Other Professional Services,0.0," $922,000.00 ",5," $922,000.00 ",5,2
139,Acct-000829,Media & Content,Media,0.0, $-   ,0, $-   ,0,2
129,Acct-001165,Healthcare,Hospital/Clinic,0.0," $14,356,758.88 ",280," $14,356,758.88 ",280,2
115,Acct-001309,Other Industry,Retail,0.0," $108,603,417.25 ",1000," $115,987,600.00 ",1000,2
81,Acct-000877,Energy & Manufacturing,Oil & Gas,0.0, $-   ,0, $-   ,0,2
114,Acct-000850,Healthcare,Healthcare - Other,0.0, $-   ,0, $-   ,0,2
113,Acct-000839,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,2
128,Acct-001151,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,2
140,Acct-001253,Media & Content,Internet Content & Software,0.0," $15,905,831.37 ",60," $19,246,055.73 ",60,2
135,Acct-000095,Transportation & Logistics,Transportation - Other,0.0," $6,830,418.49 ",40," $6,830,418.49 ",40,2
109,Acct-001025,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,2
106,Acct-000760,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,2
105,Acct-000050,Media & Content,Media,0.0, $-   ,0, $-   ,0,2
122,Acct-000925,Other Industry,Retail,0.0, $-   ,0, $-   ,0,2
89,Acct-000491,Professional Services,Commercial Systems Integrator,0.0, $-   ,0, $-   ,0,2
121,Acct-000654,Telecommunications,Wireless,0.0," $140,569.96 ",2," $154,626.78 ",2,2
94,Acct-000866,ZPS,ZPS,0.0, $-   ,0, $-   ,0,2
101,Acct-001339,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,2
1,Acct-001278,Energy & Manufacturing,Oil & Gas,0.0," $320,467,837.08 ",170," $387,766,083.06 ",170,2
127,Acct-000186,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,2
0,Acct-000773,Energy & Manufacturing,Utilities,0.0, $-   ,0, $-   ,0,2
78,Acct-001323,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,2
53,Acct-001175,,,0.0, $-   ,0, $-   ,0,2
3,Acct-000600,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,2
12,Acct-001335,Telecommunications,Regional Carrier/ISP,0.0," $138,300,000.00 ",50, $-   ,0,2
179,Acct-001319,Transportation & Logistics,Transportation - Other,0.0, $-   ,0, $-   ,0,2
15,Acct-001343,IT Infrastructure,Colo/Hosting,0.0, $-   ,0, $-   ,0,2
19,Acct-000063,,,0.0, $-   ,0, $-   ,0,2
22,Acct-001252,Government,Systems Integrators - Government,0.0, $-   ,0, $-   ,0,2
30,Acct-001225,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,2
32,Acct-000071,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,2
34,Acct-000340,,,0.0, $-   ,0, $-   ,0,2
73,Acct-001043,Manufacturing,Manufacturing - Other,0.0, $-   ,0, $-   ,0,2
43,Acct-000104,Telecommunications,National Carrier/ISP,0.0, $-   ,15, $-   ,0,2
44,Acct-001159,Media & Content,Media,0.0, $-   ,0, $-   ,0,2
130,Acct-000688,Healthcare,Healthcare - Other,0.0," $7,772,251.63 ",35," $8,002,019.56 ",35,2
66,Acct-001124,Other Industry,Hospitality,0.0, $-   ,0, $-   ,0,2
158,Acct-001301,Professional Services,Legal,0.0," $22,474,866.54 ",180," $22,474,866.54 ",180,2
164,Acct-001292,Energy,Oil & Gas,0.0, $-   ,0, $-   ,0,2
166,Acct-001308,Healthcare,Healthcare - Other,0.0, $-   ,0, $-   ,0,1
178,Acct-001317,Other Industry,Non-Profit,0.0, $-   ,0, $-   ,0,1
